candidate_id,name,party,city,1270,1275,1277,1278,1279,1280,1281,1285,1287,1288,1289,1290,1292,1293,1294,1295,1298,1299,1300,1301,1304,1305,1306,1307,1308
47,Lise Bertelsen,Det Konservative Folkeparti,Viborg,2.0,2.0,4.0,5.0,4.0,4.0,1.0,1.0,5.0,5.0,4.0,5.0,2.0,4.0,2.0,5.0,2.0,1.0,5.0,4.0,5.0,1.0,1.0,4.0,5.0
50,Marcus Knuth,Det Konservative Folkeparti,Juelsminde,1.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,2.0,1.0,1.0,5.0
51,Marianne Karlsmose,Det Konservative Folkeparti,Tarm,2.0,1.0,5.0,5.0,4.0,1.0,2.0,1.0,5.0,4.0,5.0,5.0,4.0,1.0,5.0,5.0,1.0,1.0,4.0,2.0,5.0,2.0,1.0,4.0,1.0
53,Mia Tang,Det Konservative Folkeparti,Dragør,1.0,2.0,5.0,5.0,4.0,5.0,1.0,1.0,5.0,5.0,1.0,5.0,2.0,4.0,5.0,5.0,2.0,2.0,5.0,2.0,5.0,2.0,2.0,5.0,5.0
54,Michael Faust Horsbøl,Det Konservative Folkeparti,Odder,2.0,1.0,4.0,5.0,5.0,5.0,1.0,2.0,5.0,4.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,1.0,5.0,4.0,5.0,1.0,1.0,4.0,5.0
55,Michael Grove,Det Konservative Folkeparti,Skals,2.0,2.0,4.0,5.0,5.0,2.0,2.0,1.0,5.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,1.0,4.0,2.0,4.0,2.0,2.0,4.0,5.0
56,Mona Juul,Det Konservative Folkeparti,Horsens,1.0,1.0,5.0,5.0,2.0,4.0,1.0,1.0,5.0,5.0,2.0,2.0,2.0,1.0,4.0,5.0,2.0,4.0,4.0,4.0,5.0,1.0,1.0,4.0,5.0
58,Natasja Bruun Knudsen,Det Konservative Folkeparti,Assens ,1.0,4.0,5.0,5.0,4.0,4.0,2.0,1.0,5.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,2.0,2.0,5.0,2.0,5.0,2.0,1.0,4.0,5.0
59,Nicklas Verne,Det Konservative Folkeparti,Bjerringbro,1.0,1.0,4.0,5.0,4.0,4.0,2.0,1.0,5.0,5.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,1.0,4.0,2.0,4.0,2.0,1.0,4.0,5.0
60,Niels Peder Ravn,Det Konservative Folkeparti,København,1.0,1.0,5.0,4.0,4.0,5.0,2.0,1.0,5.0,5.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,1.0,5.0,4.0,5.0,4.0,1.0,1.0,5.0
61,Nikolaj Bøgh,Det Konservative Folkeparti,Frederiksberg Kommune,1.0,2.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,1.0,4.0,4.0,2.0,4.0,5.0,2.0,4.0,4.0,4.0,5.0,2.0,1.0,1.0,5.0
62,Per Larsen,Det Konservative Folkeparti,Frederikshavn,1.0,1.0,4.0,5.0,4.0,2.0,2.0,1.0,2.0,5.0,4.0,5.0,2.0,5.0,4.0,5.0,1.0,2.0,4.0,5.0,5.0,1.0,1.0,5.0,5.0
63,Peter Sporleder,Det Konservative Folkeparti,Højbjerg,1.0,1.0,5.0,5.0,5.0,4.0,2.0,1.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,1.0,1.0,5.0,5.0
64,Rasmus Elkjær Larsen,Det Konservative Folkeparti,Aabenraa,2.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0
66,René Flou,Det Konservative Folkeparti,Aalborg ,1.0,2.0,4.0,5.0,4.0,5.0,1.0,1.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,2.0,4.0,5.0,2.0,5.0,1.0,1.0,2.0,5.0
68,Siff Tang Lassen,Det Konservative Folkeparti,aarhus,1.0,1.0,4.0,5.0,5.0,4.0,1.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,2.0,5.0,2.0,5.0,1.0,1.0,4.0,4.0
69,Sigurd Hebo Lønholdt,Det Konservative Folkeparti,København S,1.0,1.0,5.0,5.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,2.0,4.0,5.0
70,Sofie Therese Svendsen,Det Konservative Folkeparti,Aalborg ,1.0,2.0,5.0,5.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,5.0,1.0,2.0,4.0,4.0
71,Søren Homann,Det Konservative Folkeparti,Tårs / Hjørrig Kommune,2.0,1.0,5.0,5.0,4.0,5.0,4.0,1.0,5.0,4.0,4.0,5.0,2.0,2.0,4.0,5.0,2.0,4.0,5.0,4.0,4.0,2.0,2.0,4.0,5.0
